Time,Crop,Yield,Price,Food_Use,Import,Export
5/1/2006,Wheat,2.73,4.09,"76,140","5,624","72,213"
6/1/2006,Wheat,,3.98,"73,974","6,352","63,295"
7/1/2006,Wheat,,3.88,"77,304","6,758","67,847"
8/1/2006,Wheat,,3.91,"83,688","6,339","78,225"
9/1/2006,Wheat,2.57,4.06,"80,952","7,736","76,583"
10/1/2006,Wheat,2.6,4.59,"82,744","7,926","70,598"
11/1/2006,Wheat,2.6,4.59,"79,547","6,334","60,855"
12/1/2006,Wheat,2.63,4.52,"74,425","8,458","72,226"
1/1/2007,Wheat,2.61,4.53,"76,275","7,733","84,841"
2/1/2007,Wheat,2.58,4.71,"74,627","7,611","76,500"
3/1/2007,Wheat,2.6,4.75,"79,736","9,111","78,085"
4/1/2007,Wheat,2.6,4.89,"77,640","9,926","76,765"
5/1/2007,Wheat,2.8,4.88,"76,997","8,644","88,148"
6/1/2007,Wheat,2.79,5.03,"75,611","9,316","73,866"
7/1/2007,Wheat,2.74,5.17,"78,751","8,692","81,584"
8/1/2007,Wheat,2.73,5.64,"85,488","5,683","162,328"
9/1/2007,Wheat,2.73,6.76,"81,447","5,059","164,555"
10/1/2007,Wheat,2.72,7.65,"84,168","4,703","140,521"
11/1/2007,Wheat,2.71,7.39,"79,410","5,062","104,497"
12/1/2007,Wheat,2.74,7.71,"76,831","4,635","82,009"
1/1/2008,Wheat,2.72,7.96,"75,839","6,321","90,206"
2/1/2008,Wheat,2.72,10.1,"74,778","6,240","83,660"
3/1/2008,Wheat,2.69,10.5,"79,310","10,225","92,648"
4/1/2008,Wheat,2.73,10.1,"77,548","9,171","79,394"
5/1/2008,Wheat,2.86,8.87,"78,683","10,699","79,321"
6/1/2008,Wheat,2.91,7.62,"75,605","7,166","76,965"
7/1/2008,Wheat,2.92,7.15,"77,127","6,702","119,492"
8/1/2008,Wheat,2.93,7.61,"83,467","7,013","141,675"
9/1/2008,Wheat,2.92,7.43,"79,969","7,492","116,872"
10/1/2008,Wheat,3.02,6.65,"80,439","6,604","93,463"
11/1/2008,Wheat,3.02,6.29,"78,012","7,772","77,695"
12/1/2008,Wheat,3.02,5.95,"73,140","7,062","52,005"
1/1/2009,Wheat,3,6.2,"73,510","12,028","56,551"
2/1/2009,Wheat,2.98,5.79,"72,795","11,400","55,825"
3/1/2009,Wheat,3.02,5.71,"78,154","11,210","75,580"
4/1/2009,Wheat,3.02,5.75,"76,533","9,203","61,049"
5/1/2009,Wheat,2.79,5.85,"78,017","8,310","65,886"
6/1/2009,Wheat,2.77,5.72,"73,600","7,743","63,786"
7/1/2009,Wheat,2.82,5.17,"75,970","7,919","58,627"
8/1/2009,Wheat,2.91,4.85,"81,646","5,764","69,238"
9/1/2009,Wheat,2.91,4.48,"79,826","5,683","99,164"
10/1/2009,Wheat,2.98,4.47,"80,115","7,202","77,991"
11/1/2009,Wheat,2.99,4.79,"77,005","4,893","67,671"
12/1/2009,Wheat,2.98,4.87,"73,171","5,078","54,517"
1/1/2010,Wheat,2.97,4.9,"74,793","9,321","62,600"
2/1/2010,Wheat,2.98,4.73,"73,680","9,460","78,109"
3/1/2010,Wheat,2.99,4.7,"78,027","9,671","73,880"
4/1/2010,Wheat,2.99,4.41,"75,000","8,854","76,978"
5/1/2010,Wheat,2.92,4.34,"76,087","11,413","67,517"
6/1/2010,Wheat,2.95,4.16,"73,546","7,889","71,980"
7/1/2010,Wheat,3.09,4.49,"77,268","7,161","81,324"
8/1/2010,Wheat,3.16,5.44,"83,952","5,874","106,435"
9/1/2010,Wheat,3.18,5.79,"81,066","6,288","126,086"
10/1/2010,Wheat,3.14,5.88,"81,670","5,334","89,925"
11/1/2010,Wheat,3.12,6.1,"79,028","5,112","89,324"
12/1/2010,Wheat,3.11,6.44,"74,076","5,284","91,113"
1/1/2011,Wheat,3.1,6.69,"73,902","5,855","109,785"
2/1/2011,Wheat,3.1,7.42,"72,913","5,418","101,352"
3/1/2011,Wheat,3.12,7.55,"78,301","4,682","123,860"
4/1/2011,Wheat,3.13,8.01,"74,047","6,134","147,691"
5/1/2011,Wheat,2.86,8.16,"75,891","4,022","129,159"
6/1/2011,Wheat,2.9,7.41,"73,013","6,346","105,733"
7/1/2011,Wheat,3,7.1,"75,344","3,000","83,453"
8/1/2011,Wheat,3.04,7.59,"81,235","4,787","100,102"
9/1/2011,Wheat,3.02,7.54,"78,864","6,953","99,523"
10/1/2011,Wheat,2.95,7.27,"84,162","10,421","72,101"
11/1/2011,Wheat,2.94,7.3,"80,720","7,775","61,287"
12/1/2011,Wheat,2.93,7.2,"76,308","8,059","71,503"
1/1/2012,Wheat,2.94,7.05,"77,868","7,655","72,751"
2/1/2012,Wheat,2.9,7.1,"76,658","7,474","69,020"
3/1/2012,Wheat,2.93,7.2,"81,149","10,826","86,759"
4/1/2012,Wheat,2.94,7.11,"77,606","6,662","103,778"
5/1/2012,Wheat,3.07,6.67,"78,390","4,424","104,449"
6/1/2012,Wheat,3.06,6.7,"75,290","4,921","88,538"
7/1/2012,Wheat,3.06,7.89,"77,245","3,593","70,378"
8/1/2012,Wheat,3.12,8.04,"85,062","10,131","97,627"
9/1/2012,Wheat,3.13,8.27,"81,511","8,481","92,901"
10/1/2012,Wheat,3.11,8.38,"84,189","9,144","52,669"
11/1/2012,Wheat,3.11,8.47,"80,898","8,264","46,420"
12/1/2012,Wheat,3.12,8.3,"76,210","9,219","61,495"
1/1/2013,Wheat,3.1,8.12,"76,750","9,522","77,006"
2/1/2013,Wheat,3.12,7.97,"76,009","9,202","91,861"
3/1/2013,Wheat,3.13,7.79,"80,677","6,744","103,441"
4/1/2013,Wheat,3.11,7.71,"77,981","8,860","111,234"
5/1/2013,Wheat,2.96,7.68,"78,993","8,023","95,236"
6/1/2013,Wheat,3,7.37,"75,052","8,229","94,904"
7/1/2013,Wheat,3.11,6.95,"76,451","10,500","114,879"
8/1/2013,Wheat,3.11,6.88,"83,320","9,519","142,197"
9/1/2013,Wheat,3.14,6.8,"79,922","16,709","151,935"
10/1/2013,Wheat,,6.94,"86,480","13,314","87,681"
11/1/2013,Wheat,3.17,6.85,"82,899","10,508","64,108"
12/1/2013,Wheat,,6.73,"77,964","13,792","73,735"
1/1/2014,Wheat,3.1,6.65,"76,912","11,108","80,725"
2/1/2014,Wheat,3.02,6.5,"76,199","9,626","68,543"
3/1/2014,Wheat,,6.74,"80,770","12,412","77,859"
4/1/2014,Wheat,,6.82,"78,674","14,520","102,988"
5/1/2014,Wheat,2.87,7.08,"80,460","11,428","95,876"
6/1/2014,Wheat,2.84,6.49,"77,049","11,128","77,912"
7/1/2014,Wheat,2.9,6.15,"77,413","14,125","73,314"
8/1/2014,Wheat,2.95,5.97,"84,455","10,226","95,989"
9/1/2014,Wheat,2.96,5.71,"80,720","8,532","97,967"
10/1/2014,Wheat,2.95,5.71,"85,733","9,795","58,258"
11/1/2014,Wheat,2.94,6.04,"81,734","7,955","45,692"
12/1/2014,Wheat,,6.14,"77,509","8,703","59,967"
1/1/2015,Wheat,2.94,6.15,"77,127","10,185","51,471"
2/1/2015,Wheat,2.95,5.89,"76,214","9,436","68,363"
3/1/2015,Wheat,,5.7,"80,722","11,531","74,564"
4/1/2015,Wheat,,5.56,"79,012","7,988","74,102"
5/1/2015,Wheat,2.92,5.33,"80,597","7,368","64,539"
6/1/2015,Wheat,2.97,5.42,"77,764","5,821","59,531"
7/1/2015,Wheat,2.98,5.23,"77,891","5,572","60,229"
8/1/2015,Wheat,2.96,4.84,"84,590","5,935","79,422"
9/1/2015,Wheat,2.94,4.72,"81,406","6,822","90,351"
10/1/2015,Wheat,2.93,4.86,"85,349","4,483","44,850"
11/1/2015,Wheat,2.93,4.86,"82,013","7,017","50,968"
12/1/2015,Wheat,,4.75,"76,971","9,172","62,994"
1/1/2016,Wheat,3.03,4.82,"76,381","6,977","51,899"
2/1/2016,Wheat,3.05,4.61,"76,190","9,735","54,281"
3/1/2016,Wheat,,4.4,"80,134","5,585","70,087"
4/1/2016,Wheat,,4.46,"79,210","5,231","65,495"
5/1/2016,Wheat,3.14,4.45,"79,261","4,084","63,676"
6/1/2016,Wheat,3.27,4.2,"75,932","5,744","83,009"
7/1/2016,Wheat,3.45,3.75,"77,211","7,072","75,485"
8/1/2016,Wheat,3.54,3.68,"84,479","10,961","103,642"
9/1/2016,Wheat,3.57,3.48,"80,408","9,152","103,742"
10/1/2016,Wheat,3.54,3.68,"84,109","5,914","63,389"
11/1/2016,Wheat,3.52,3.88,"80,967","5,669","65,452"
12/1/2016,Wheat,,3.9,"76,192","5,111","80,095"
1/1/2017,Wheat,3.4,4.01,"76,393","5,470","60,537"
2/1/2017,Wheat,3.37,4.16,"75,301","5,956","82,555"
3/1/2017,Wheat,,4.37,"80,452","8,349","98,116"
4/1/2017,Wheat,,4.16,"78,081","7,202","98,509"
5/1/2017,Wheat,3.18,4.05,"79,324","7,177","112,397"
6/1/2017,Wheat,3.18,4.37,"76,566","8,435","109,687"
7/1/2017,Wheat,3.1,4.77,"77,683","10,475","87,501"
8/1/2017,Wheat,3.07,4.84,"84,501","13,711","89,362"
9/1/2017,Wheat,3.05,4.65,"81,459","8,893","86,496"
10/1/2017,Wheat,3.11,4.64,"86,388","8,278","48,308"
11/1/2017,Wheat,3.12,4.72,"82,705","9,610","54,448"
12/1/2017,Wheat,,4.5,"77,316","9,797","72,945"
1/1/2018,Wheat,3.13,4.65,"78,237","9,852","64,994"
2/1/2018,Wheat,3.14,4.92,"77,301","9,124","58,101"
3/1/2018,Wheat,,5.1,"82,113","10,244","76,469"
4/1/2018,Wheat,,5.28,"79,319","11,614","72,031"
5/1/2018,Wheat,3.15,5.39,"80,536","10,706","66,140"
6/1/2018,Wheat,3.16,5.19,"77,098","11,463","57,363"
7/1/2018,Wheat,3.2,5,"77,688","10,106","65,546"
8/1/2018,Wheat,3.19,5.31,"84,456","10,251","76,856"
9/1/2018,Wheat,3.17,5.15,"81,050","7,924","66,047"
10/1/2018,Wheat,3.2,5.22,"84,428","7,925","70,998"
11/1/2018,Wheat,,5.23,"81,055","6,229","60,225"
12/1/2018,Wheat,3.22,5.28,"76,380","9,398","84,023"
1/1/2019,Wheat,3.24,5.28,"76,955","9,260","72,259"
2/1/2019,Wheat,3.25,5.33,"75,807","4,146","82,441"
3/1/2019,Wheat,,5.19,"80,846","8,851","74,994"
4/1/2019,Wheat,,4.93,"78,439","7,598","101,254"
5/1/2019,Wheat,3.27,4.78,"80,232","4,505","104,927"
6/1/2019,Wheat,3.28,4.81,"76,744","5,410","83,335"
7/1/2019,Wheat,3.36,4.52,"77,411","4,031","68,853"
8/1/2019,Wheat,3.47,4.34,"84,093","4,325","94,857"
9/1/2019,Wheat,3.48,4.26,"80,914","4,213","79,901"
10/1/2019,Wheat,3.47,4.45,"84,856","4,488","83,641"
11/1/2019,Wheat,3.47,4.39,"81,190","4,356","64,645"
12/1/2019,Wheat,,4.64,"76,859","5,820","80,808"
1/1/2020,Wheat,3.4,4.88,"80,032","8,905","70,543"
2/1/2020,Wheat,3.39,4.88,"79,182","4,301","80,653"
3/1/2020,Wheat,,4.86,"84,305","6,256","66,051"
4/1/2020,Wheat,,4.85,"77,053","7,677","91,275"
5/1/2020,Wheat,3.33,4.76,"78,982","4,591","84,125"
6/1/2020,Wheat,3.35,4.57,"75,853","4,389","83,699"
7/1/2020,Wheat,3.34,4.54,"79,095","6,935","88,446"
8/1/2020,Wheat,3.37,4.54,"85,907","5,578","94,222"
9/1/2020,Wheat,3.38,4.73,"82,541","5,522","98,699"
10/1/2020,Wheat,3.34,4.98,"85,129","4,592","63,899"
11/1/2020,Wheat,3.34,5.24,"81,582","6,163","69,498"
12/1/2020,Wheat,,5.46,"76,988","4,202","69,076"
1/1/2021,Wheat,3.34,5.48,"77,749","4,210","73,081"
2/1/2021,Wheat,3.35,5.83,"76,870","3,026","64,838"
3/1/2021,Wheat,,5.86,"81,060","4,103","83,106"
4/1/2021,Wheat,,6.04,"78,029","3,337","93,696"
5/1/2021,Wheat,3.36,6.46,"79,723","3,386","91,289"
6/1/2021,Wheat,3.41,6.23,"76,555","3,829","68,781"
7/1/2021,Wheat,3.08,6.26,"76,832","4,866","80,972"
8/1/2021,Wheat,2.99,7.14,"83,749","7,084","95,700"
9/1/2021,Wheat,2.99,7.75,"80,488","8,727","85,740"
10/1/2021,Wheat,2.98,7.92,"85,735","3,525","45,835"
11/1/2021,Wheat,3,8.52,"82,471","2,003","50,380"
12/1/2021,Wheat,,8.59,"77,745","5,298","45,465"
1/1/2022,Wheat,3.04,8.48,"79,883","4,322","63,509"
2/1/2022,Wheat,3.07,9.16,"78,976","1,550","68,184"
3/1/2022,Wheat,,9.93,"83,926","3,758","62,939"
4/1/2022,Wheat,,10.2,"81,523","5,113","64,358"
5/1/2022,Wheat,3.14,10.9,"83,625","4,090","49,999"
6/1/2022,Wheat,3.15,9.55,"80,941","6,483","58,529"
7/1/2022,Wheat,3.18,8.69,"79,913","7,146","55,710"
8/1/2022,Wheat,3.2,8.55,"86,933","6,370","92,445"
9/1/2022,Wheat,3.17,8.85,"83,191","3,473","112,072"
10/1/2022,Wheat,3.13,9.21,"84,990","5,650","50,865"
11/1/2022,Wheat,3.13,9.16,"81,513","7,036","48,420"
12/1/2022,Wheat,3.13,8.98,"76,929","6,632","39,680"
