Time,Country,Crop,Yield (Tons per Hectare),Production
5/1/2005,USA,Corn,9.29,279.03
6/1/2005,USA,Corn,,
7/1/2005,USA,Corn,9.1,273.95
8/1/2005,USA,Corn,8.74,262.9
9/1/2005,USA,Corn,8.99,270.23
10/1/2005,USA,Corn,9.17,275.79
11/1/2005,USA,Corn,9.32,280.23
12/1/2005,USA,Corn,9.31,
1/1/2006,USA,Corn,9.29,282.26
2/1/2006,USA,Corn,9.29,
3/1/2006,USA,Corn,9.34,
4/1/2006,USA,Corn,9.35,
5/1/2006,USA,Corn,9.35,267.98
6/1/2006,USA,Corn,,
7/1/2006,USA,Corn,,
8/1/2006,USA,Corn,,
9/1/2006,USA,Corn,9.71,282.3
10/1/2006,USA,Corn,9.63,277.01
11/1/2006,USA,Corn,9.49,272.93
12/1/2006,USA,Corn,9.49,272.93
1/1/2007,USA,Corn,9.36,267.6
2/1/2007,USA,Corn,,
3/1/2007,USA,Corn,9.36,
4/1/2007,USA,Corn,,
5/1/2007,USA,Corn,9.43,316.5
6/1/2007,USA,Corn,9.43,
7/1/2007,USA,Corn,9.44,326.15
8/1/2007,USA,Corn,9.59,331.58
9/1/2007,USA,Corn,9.78,338.04
10/1/2007,USA,Corn,9.71,338.3
11/1/2007,USA,Corn,9.6,334.48
12/1/2007,USA,Corn,9.6,
1/1/2008,USA,Corn,9.48,332.09
2/1/2008,USA,Corn,,
3/1/2008,USA,Corn,,
4/1/2008,USA,Corn,,
5/1/2008,USA,Corn,9.66,307.99
6/1/2008,USA,Corn,9.35,298.08
7/1/2008,USA,Corn,9.31,297.58
8/1/2008,USA,Corn,9.73,312.13
9/1/2008,USA,Corn,9.56,306.65
10/1/2008,USA,Corn,9.67,309.89
11/1/2008,USA,Corn,9.65,305.32
12/1/2008,USA,Corn,9.65,
1/1/2009,USA,Corn,9.66,307.39
2/1/2009,USA,Corn,,
3/1/2009,USA,Corn,,
4/1/2009,USA,Corn,,
5/1/2009,USA,Corn,9.75,307.1
6/1/2009,USA,Corn,9.63,303.16
7/1/2009,USA,Corn,9.63,312.18
8/1/2009,USA,Corn,10.01,324.14
9/1/2009,USA,Corn,10.16,329.06
10/1/2009,USA,Corn,10.3,330.67
11/1/2009,USA,Corn,10.23,328.21
12/1/2009,USA,Corn,10.3,
1/1/2010,USA,Corn,10.37,334.05
2/1/2010,USA,Corn,,
3/1/2010,USA,Corn,10.35,333.53
4/1/2010,USA,Corn,10.34,333.01
5/1/2010,USA,Corn,10.26,339.61
6/1/2010,USA,Corn,10.26,
7/1/2010,USA,Corn,10.26,336.44
8/1/2010,USA,Corn,10.36,339.49
9/1/2010,USA,Corn,10.2,334.27
10/1/2010,USA,Corn,9.78,321.68
11/1/2010,USA,Corn,9.69,318.52
12/1/2010,USA,Corn,9.61,
1/1/2011,USA,Corn,9.59,316.17
2/1/2011,USA,Corn,,
3/1/2011,USA,Corn,,
4/1/2011,USA,Corn,,
5/1/2011,USA,Corn,9.96,343.04
6/1/2011,USA,Corn,9.96,335.3
7/1/2011,USA,Corn,9.96,342.15
8/1/2011,USA,Corn,9.61,328.03
9/1/2011,USA,Corn,9.3,317.44
10/1/2011,USA,Corn,9.3,315.81
11/1/2011,USA,Corn,9.21,312.69
12/1/2011,USA,Corn,9.21,
1/1/2012,USA,Corn,9.24,313.92
2/1/2012,USA,Corn,,
3/1/2012,USA,Corn,,
4/1/2012,USA,Corn,,
5/1/2012,USA,Corn,10.42,375.68
6/1/2012,USA,Corn,10.42,
7/1/2012,USA,Corn,9.16,329.45
8/1/2012,USA,Corn,7.74,273.79
9/1/2012,USA,Corn,7.71,272.49
10/1/2012,USA,Corn,7.66,271.94
11/1/2012,USA,Corn,7.67,272.43
12/1/2012,USA,Corn,7.67,
1/1/2013,USA,Corn,7.74,273.83
2/1/2013,USA,Corn,,
3/1/2013,USA,Corn,,
4/1/2013,USA,Corn,,
5/1/2013,USA,Corn,9.92,359.17
6/1/2013,USA,Corn,9.82,355.74
7/1/2013,USA,Corn,9.82,354.35
8/1/2013,USA,Corn,9.69,349.6
9/1/2013,USA,Corn,9.75,351.64
10/1/2013,USA,Corn,,
11/1/2013,USA,Corn,10.07,355.33
12/1/2013,USA,Corn,10.05,
1/1/2014,USA,Corn,9.97,353.72
2/1/2014,USA,Corn,,
3/1/2014,USA,Corn,,
4/1/2014,USA,Corn,,
5/1/2014,USA,Corn,10.376,353.965
6/1/2014,USA,Corn,10.38,353.97
7/1/2014,USA,Corn,10.38,352.06
8/1/2014,USA,Corn,10.51,356.43
9/1/2014,USA,Corn,10.78,365.66
10/1/2014,USA,Corn,10.93,367.68
11/1/2014,USA,Corn,10.88,365.97
12/1/2014,USA,Corn,10.78,
1/1/2015,USA,Corn,10.73,361.09
2/1/2015,USA,Corn,,
3/1/2015,USA,Corn,,
4/1/2015,USA,Corn,,
5/1/2015,USA,Corn,10.47,346.22
6/1/2015,USA,Corn,10.47,
7/1/2015,USA,Corn,10.47,343.68
8/1/2015,USA,Corn,10.59,347.64
9/1/2015,USA,Corn,10.51,345.07
10/1/2015,USA,Corn,10.55,344.31
11/1/2015,USA,Corn,10.62,346.82
12/1/2015,USA,Corn,10.6,
1/1/2016,USA,Corn,10.57,345.49
2/1/2016,USA,Corn,,
3/1/2016,USA,Corn,,
4/1/2016,USA,Corn,,
5/1/2016,USA,Corn,10.54,366.54
6/1/2016,USA,Corn,,
7/1/2016,USA,Corn,10.54,369.33
8/1/2016,USA,Corn,10.99,384.92
9/1/2016,USA,Corn,10.95,383.38
10/1/2016,USA,Corn,10.88,382.48
11/1/2016,USA,Corn,11.01,386.75
12/1/2016,USA,Corn,11.01,
1/1/2017,USA,Corn,10.96,384.78
2/1/2017,USA,Corn,,
3/1/2017,USA,Corn,,
4/1/2017,USA,Corn,,
5/1/2017,USA,Corn,10.71,357.27
6/1/2017,USA,Corn,10.71,
7/1/2017,USA,Corn,10.72,362.09
8/1/2017,USA,Corn,10.64,359.5
9/1/2017,USA,Corn,10.66,360.3
10/1/2017,USA,Corn,10.78,362.73
11/1/2017,USA,Corn,11.01,370.29
12/1/2017,USA,Corn,11.04,
1/1/2018,USA,Corn,11.08,370.96
2/1/2018,USA,Corn,,
3/1/2018,USA,Corn,,
4/1/2018,USA,Corn,,
5/1/2018,USA,Corn,10.92,356.63
6/1/2018,USA,Corn,10.92,
7/1/2018,USA,Corn,10.92,361.46
8/1/2018,USA,Corn,11.2,370.51
9/1/2018,USA,Corn,11.38,376.62
10/1/2018,USA,Corn,11.34,375.37
11/1/2018,USA,Corn,11.23,371.52
12/1/2018,USA,Corn,11.14,
1/1/2019,USA,Corn,11.07,
2/1/2019,USA,Corn,11.07,366.29
3/1/2019,USA,Corn,,
4/1/2019,USA,Corn,,
5/1/2019,USA,Corn,11.05,381.78
6/1/2019,USA,Corn,10.42,347.49
7/1/2019,USA,Corn,10.42,352.44
8/1/2019,USA,Corn,10.64,353.09
9/1/2019,USA,Corn,10.56,350.52
10/1/2019,USA,Corn,10.57,350.01
11/1/2019,USA,Corn,10.48,347.01
12/1/2019,USA,Corn,10.5,
1/1/2020,USA,Corn,10.55,347.78
2/1/2020,USA,Corn,,
3/1/2020,USA,Corn,10.53,347.05
4/1/2020,USA,Corn,,
5/1/2020,USA,Corn,11.2,406.29
6/1/2020,USA,Corn,11.2,
7/1/2020,USA,Corn,11.21,381.02
8/1/2020,USA,Corn,11.41,388.08
9/1/2020,USA,Corn,11.2,378.47
10/1/2020,USA,Corn,11.2,373.95
11/1/2020,USA,Corn,11.03,368.49
12/1/2020,USA,Corn,10.89,
1/1/2021,USA,Corn,10.79,360.25
2/1/2021,USA,Corn,,
3/1/2021,USA,Corn,,
4/1/2021,USA,Corn,,
5/1/2021,USA,Corn,11.27,380.76
6/1/2021,USA,Corn,11.27,
7/1/2021,USA,Corn,11.29,385.21
8/1/2021,USA,Corn,10.96,374.68
9/1/2021,USA,Corn,11.06,380.93
10/1/2021,USA,Corn,11.08,381.49
11/1/2021,USA,Corn,11.11,382.59
12/1/2021,USA,Corn,11.11,
1/1/2022,USA,Corn,11.11,383.94
2/1/2022,USA,Corn,,
3/1/2022,USA,Corn,,
4/1/2022,USA,Corn,,
5/1/2022,USA,Corn,11.11,367.3
6/1/2022,USA,Corn,11.11,
7/1/2022,USA,Corn,11.11,368.44
8/1/2022,USA,Corn,11.01,364.73
9/1/2022,USA,Corn,10.83,354.19
10/1/2022,USA,Corn,10.79,352.95
11/1/2022,USA,Corn,10.82,353.84
12/1/2022,USA,Corn,10.88,348.75
