STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/25/2021,2,,,,,,,,0
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/26/2021,,,1.67,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/27/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/29/2021,,,0.11,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/30/2021,,,1.13,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",10/31/2021,,,0,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/1/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/2/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/3/2021,,,0.11,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/4/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/5/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/6/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/8/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/9/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/10/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/11/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/12/2021,,,0.61,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/13/2021,,,0.03,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/14/2021,,,0.03,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/15/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/16/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/17/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/18/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/19/2021,,,0.08,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/20/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/22/2021,,,0.07,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/28/2021,6,0.1,,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/29/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",11/30/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/1/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/2/2021,,,0.01,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/5/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/6/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/7/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/8/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/9/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/10/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/11/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/12/2021,,,0.22,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/14/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/15/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/16/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/17/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/18/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/20/2021,2,0.01,,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/21/2021,,,0,0,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/22/2021,,,0.07,,,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",12/23/2021,,,0,0,,,,,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/1/2021,,,0,0,0,54,36,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/2/2021,,,0.95,0,0,43,35,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/3/2021,,,0.2,0,0,57,38,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/4/2021,,,0.04,0,0,42,32,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/5/2021,,,0,0,0,46,32,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/6/2021,,,0,0,0,42,39,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/7/2021,,,0,0,0,43,32,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/8/2021,,,0,0,0,46,32,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/9/2021,,,0,0,0,38,31,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/10/2021,,,0,0,0,47,32,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/11/2021,,,0,0,0,48,25,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/12/2021,,,0,0,0,44,25,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/13/2021,,,0,0,0,48,25,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/14/2021,,,0,0,0,51,26,30,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/15/2021,,,0,0,0,55,30,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/16/2021,,,0.2,0,0,51,34,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/17/2021,,,0,0,0,47,35,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/18/2021,,,0,0,0,48,32,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/19/2021,,,0,0,0,45,31,37,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/20/2021,,,0,0,0,52,31,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/21/2021,,,0,0,0,44,23,35,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/22/2021,,,0,0,0,54,29,31,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/23/2021,,,0,0,0,50,31,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/24/2021,,,0,0,0,35,25,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/25/2021,,,0,0,0,36,26,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/26/2021,,,0.28,0.3,0,39,31,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/27/2021,,,0.03,0,0,41,33,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/28/2021,,,0,0,0,44,30,30,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/29/2021,,,0,0,0,37,24,27,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/30/2021,,,0,0,0,37,24,27,
USC00186350,"NATIONAL ARBORETUM DC, MD US",1/31/2021,,,0.08,0.8,1,39,27,30,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/1/2021,,,0.36,2,2,32,29,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/2/2021,,,0.14,1.9,2,33,29,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/3/2021,,,0,0,0,37,31,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/4/2021,,,0,0,0,44,30,31,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/5/2021,,,0.05,0,0,49,31,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/6/2021,,,0,0,0,56,31,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/7/2021,,,0.21,0,0,51,36,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/8/2021,,,0.28,0,0,43,24,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/9/2021,,,0,0,0,40,26,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/10/2021,,,0,0,0,52,30,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/11/2021,,,0.44,0,0,43,33,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/12/2021,,,0,0,0,34,28,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/13/2021,,,0,0,0,31,29,31,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/14/2021,,,0.47,0.2,0,31,27,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/15/2021,,,0,0,0,37,29,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/16/2021,,,0.95,0,0,41,35,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/17/2021,,,0,0,0,45,26,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/18/2021,,,0.12,0.2,0,38,25,27,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/19/2021,,,0.4,0.4,0,31,27,30,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/20/2021,,,0.02,0,0,39,27,27,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/21/2021,,,0,0,0,33,24,26,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/22/2021,,,0,0,0,40,24,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/23/2021,,,0.36,0,0,39,29,35,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/24/2021,,,0,0,0,58,30,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/25/2021,,,0,0,0,65,40,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/26/2021,,,0,0,0,56,35,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/27/2021,,,0.37,0,0,50,36,39,
USC00186350,"NATIONAL ARBORETUM DC, MD US",2/28/2021,,,0.11,0,0,55,39,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/1/2021,,,1.05,0,0,47,43,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/2/2021,,,0.06,0,0,51,31,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/3/2021,,,0,0,0,45,28,38,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/4/2021,,,0,0,0,60,38,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/5/2021,,,0,0,0,60,28,29,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/6/2021,,,0,0,0,44,29,35,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/7/2021,,,0,0,0,46,28,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/8/2021,,,0,0,0,48,24,35,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/9/2021,,,0,0,0,55,35,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/10/2021,,,0,0,0,71,44,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/11/2021,,,0,0,0,72,48,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/12/2021,,,0,0,0,79,55,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/13/2021,,,0,0,0,71,46,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/14/2021,,,0,0,0,59,38,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/15/2021,,,0,0,0,66,32,34,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/16/2021,,,0,0,0,48,33,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/17/2021,,,0.01,0,0,45,41,41,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/18/2021,,,0.2,0,0,50,41,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/19/2021,,,0.34,0,0,54,40,40,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/20/2021,,,0,0,0,51,30,33,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/21/2021,,,0,0,0,58,29,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/22/2021,,,0,0,0,64,33,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/23/2021,,,0,0,0,66,42,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/25/2021,,,1.3,0,0,69,47,47,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/26/2021,,,0,0,0,69,47,69,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/27/2021,,,0,0,0,84,47,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/28/2021,,,0.31,0,0,72,53,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/29/2021,,,0.39,0,0,73,44,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/30/2021,,,0,0,0,60,37,45,
USC00186350,"NATIONAL ARBORETUM DC, MD US",3/31/2021,,,0,0,0,70,45,62,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/1/2021,,,1.09,0,0,66,41,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/2/2021,,,0,0,0,49,31,32,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/3/2021,,,0,0,0,47,29,36,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/4/2021,,,0,0,0,56,36,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/5/2021,,,0,0,0,73,41,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/6/2021,,,0,0,0,73,48,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/7/2021,,,0,0,0,78,50,57,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/8/2021,,,0,0,0,81,53,56,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/9/2021,,,0.56,0,0,73,52,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/10/2021,,,0.01,0,0,61,53,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/11/2021,,,0.22,0,0,74,55,64,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/12/2021,,,0,0,0,80,54,54,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/13/2021,,,0.04,0,0,60,49,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/14/2021,,,0,0,0,68,49,55,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/15/2021,,,0.36,0,0,63,55,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/16/2021,,,0,0,0,66,43,48,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/17/2021,,,0,0,0,59,40,49,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/18/2021,,,0,0,0,60,43,50,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/19/2021,,,0,0,0,67,49,52,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/20/2021,,,0.02,0,0,64,47,53,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/21/2021,,,0,0,0,77,53,58,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/22/2021,,,0,0,0,67,33,42,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/23/2021,,,0,0,0,52,37,46,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/24/2021,,,0,0,0,64,39,44,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/25/2021,,,0.87,0,0,66,44,51,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/26/2021,,,0,0,0,67,45,49,
USC00186350,"NATIONAL ARBORETUM DC, MD US",4/27/2021,,,0,0,0,69,45,57,
